English,Korean
part,부분
history,역사
search,찾다
only,오직
police,경찰
thought,생각
help,돕다
request,요구
kind,친절한
month,월
brother,형제
let,허락하다
because,왜냐하면
to put,놓다
no,아니요
leash,속박
them,그들을
city,도시
each,각
speak,말하다
come,오다
should,~해야 한다
baby,아기
long time,장기
hours,시간
will,~ 할 것이다
while,~하는 동안
meet again,다시 만나다
any,어느
square,정사각형
speak,말하다
understood,이해했다
knew,알고 있었다
were,~이었다
Warning,경고
here is,여기 있습니다
could,~할 수 있었다
case,사례
give,주다
type,유형
their,그들의
given,주어진
train,기차
body,몸
place,장소
eyes,눈
way,방법
listen,듣다
whose,누구
find,찾다
first,첫 번째
lost,잃어버린
hand,손
first,첫 번째
side,옆
power,힘
old,오래된
be,BE
here,여기
morning,아침
so much,너무 많이
child,어린이
point,가리키다
came,왔다
after,~ 후에
sorry,죄송합니다
come,오다
in front of,앞에
towards,...쪽으로
minutes,분
request,요구
bedroom,침실
placed,배치
beautiful,아름다운
law,법
would like to,싶습니다
today,오늘
husband,남편
cause,원인
finally,마지막으로
hope,희망
water,물
Wait,기다리다
left,왼쪽
new,새로운
job,직업
Stop,멈추다
would say,말할 것입니다
Earth,지구
account,계정
given,주어진
far,멀리
end,끝
believe,믿다
sweetheart,여보
large,크기가 큰
rather,꽤
will have,가질 것이다
girls,여자
to play,놀기 위해
office,사무실
